port_id,port_name,country_code,water_body,latitude,longitude
155,Patreksfjordur,Iceland,Denmark Strait; North Atlantic Ocean,65.6,-24
270,Olafsfjordur,Iceland,Greenland Sea; Arctic Ocean,66.06666667,-18.65
125,Stykkisholmur,Iceland,North Atlantic Ocean,65.08333333,-22.73333333
48030,North Ain Sukhna Port,Egypt,Gulf of Suez; Red Sea; Indian Ocean,29.65,32.366667
10210,Banes,Cuba,North Atlantic Ocean,20.91666667,-75.71666667
10070,Bahia Honda,Cuba,Gulf of Mexico; North Atlantic Ocean,22.96666667,-83.16666667
10140,Caibarien,Cuba,North Atlantic Ocean,22.53333333,-79.46666667
10290,Baracoa,Cuba,North Atlantic Ocean,20.35,-74.5
10240,Preston,Cuba,North Atlantic Ocean,20.76666667,-75.65
10480,Santa Cruz del Sur,Cuba,Caribbean Sea; North Atlantic Ocean,20.7,-77.98333333
47946,Sawakin Harbor,Sudan,Red Sea; Indian Ocean,19.133333,37.35
10505,Palo Alto,Cuba,Caribbean Sea; North Atlantic Ocean,21.58333333,-78.96666667
47900,Mitsiwa Harbor,Eritrea,Red Sea; Indian Ocean,15.616667,39.466667
47880,Assab,Eritrea,Red Sea; Indian Ocean,13,42.75
16260,Moss,United States,North Pacific Ocean,36.8,-121.783333
29435,Kyndbyvaerkets,Denmark,Kattegat; North Atlantic Ocean,55.816667,11.883333
29390,Hundested Havn,Denmark,Kattegat; North Atlantic Ocean,55.966667,11.85
47980,Safaja,Egypt,Red Sea; Indian Ocean,26.733333,33.95
48090,Al Aqabah,Jordan,Gulf of Aqaba; Red Sea; Indian Ocean,29.516667,35
48045,El-Adabiya,Egypt,Gulf of Suez; Red Sea; Indian Ocean,29.866667,32.466667
